Times Bins DMs SNRs
339445.0 9.0 30.0 8.630025799322826
339446.0 9.0 30.0 8.210443808999113
462473.0 9.0 30.0 8.08003181712502
337818.0 10.0 30.0 8.694963433846253
337819.0 10.0 30.0 8.472524796784437
337838.0 10.0 30.0 8.20096280263058
337839.0 10.0 30.0 8.66223846736314
337840.0 10.0 30.0 8.950244069422746
337841.0 10.0 30.0 9.322543215512491
337842.0 10.0 30.0 9.231227869554887
337843.0 10.0 30.0 8.692688442885581
337844.0 10.0 30.0 8.090928858225551
337904.0 10.0 30.0 8.367384002440266
337905.0 10.0 30.0 8.547681188335433
338139.0 10.0 30.0 8.150251563998712
338140.0 10.0 30.0 8.150254229482773
338721.0 10.0 30.0 8.26419734775469
338722.0 10.0 30.0 9.544993595355692
338723.0 10.0 30.0 10.284906268898412
338724.0 10.0 30.0 10.458179007712546
338725.0 10.0 30.0 10.608036873208249
338726.0 10.0 30.0 9.898568887267308
338727.0 10.0 30.0 9.493494254720964
338728.0 10.0 30.0 8.798075192818441
338729.0 10.0 30.0 8.718467299687896
338730.0 10.0 30.0 8.011340801153484
338790.0 10.0 30.0 8.044282231098292
338791.0 10.0 30.0 9.22439452460871
338792.0 10.0 30.0 9.847232832725203
338793.0 10.0 30.0 9.751234529424913
338794.0 10.0 30.0 9.432794929444713
338795.0 10.0 30.0 8.908304444120256
338796.0 10.0 30.0 8.14498225078024
339443.0 10.0 30.0 8.678235994566236
339444.0 10.0 30.0 8.49794415911348
339445.0 10.0 30.0 9.052879346449593
339446.0 10.0 30.0 8.268483778947834
462472.0 10.0 30.0 8.275925708983385
462472.0 1.0 40.0 8.524144351252305
462471.0 2.0 40.0 10.489994824821698
462472.0 2.0 40.0 10.060809402702994
338792.0 3.0 40.0 8.02680221962473
462470.0 3.0 40.0 9.871045859710518
462471.0 3.0 40.0 11.858244351282227
462472.0 3.0 40.0 10.221481476382289
338721.0 4.0 40.0 8.05821796587696
338791.0 4.0 40.0 8.498745387527986
338792.0 4.0 40.0 9.157523815375605
338793.0 4.0 40.0 8.565366393319447
338794.0 4.0 40.0 8.054630831329558
462469.0 4.0 40.0 8.72104834716722
462470.0 4.0 40.0 11.400570853681026
462471.0 4.0 40.0 12.007536922476191
462472.0 4.0 40.0 9.99049850137067
337838.0 5.0 40.0 8.215846633942103
337839.0 5.0 40.0 8.298605098476093
338720.0 5.0 40.0 9.061497445134307
338721.0 5.0 40.0 8.799987910238075
338791.0 5.0 40.0 9.574713002709922
338792.0 5.0 40.0 9.783261715695442
338793.0 5.0 40.0 8.995419356071062
338794.0 5.0 40.0 8.01558137449331
462468.0 5.0 40.0 8.067154768444329
